stim,corrAns,condition
ANALOGUE,a,LOW
MONOTONE,a,LOW
BUSHY,a,LOW
FANCIER,a,LOW
GASEOUS,a,LOW
ADVISABLE,a,LOW
CARAFE,a,LOW
PSEUDONYM,a,LOW
DOLLOP,a,LOW
COTS,a,LOW
RELIABILITY,a,LOW
DUMBBELL,a,LOW
EUCALYPTUS,a,LOW
MINTY,a,LOW
SPRANG,a,LOW
ALTERS,a,LOW
ABUSES,a,LOW
EXPUNGE,a,LOW
DAMPENED,a,LOW
BLOOMED,a,LOW
CLASSIFY,a,LOW
PAUSING,a,LOW
DISTORT,a,LOW
ELICIT,a,LOW
MULTIPLIED,a,LOW
POSSIBLE,a,HIGH
WONDERFUL,a,HIGH
IMPORTANT,a,HIGH
BEST,a,HIGH
OTHER,a,HIGH
BEAUTIFUL,a,HIGH
AMERICAN,a,HIGH
MISTAKE,a,HIGH
HOSPITAL,a,HIGH
QUESTION,a,HIGH
MORNING,a,HIGH
MINUTE,a,HIGH
NIGHT,a,HIGH
LIEUTENANT,a,HIGH
TALKED,a,HIGH
EXPECT,a,HIGH
UNDERSTAND,a,HIGH
LEAVE,a,HIGH
HELP,a,HIGH
TALK,a,HIGH
THOUGHT,a,HIGH
BELIEVE,a,HIGH
REMEMBER,a,HIGH
HAPPENED,a,HIGH
STOP,a,HIGH
ABOSE,l,NONWORD
TIKER,l,NONWORD
TAKUNGS,l,NONWORD
GALENTED,l,NONWORD
TAMPETING,l,NONWORD
FANGIBLE,l,NONWORD
DRAPHAPPY,l,NONWORD
RAPESTRY,l,NONWORD
CAPESTRIES,l,NONWORD
RALISMAN,l,NONWORD
DALENT,l,NONWORD
SPENCH,l,NONWORD
SLEERING,l,NONWORD
TREEPLE,l,NONWORD
STEEF,l,NONWORD
SMARVE,l,NONWORD
DROWBLING,l,NONWORD
KNOUT,l,NONWORD
PLORE,l,NONWORD
KNOBBISH,l,NONWORD
SNOTCH,l,NONWORD
GNIPING,l,NONWORD
KNIFFLE,l,NONWORD
GNEERING,l,NONWORD
DRAPSHOT,l,NONWORD
GNAPPER,l,NONWORD
SPAIL,l,NONWORD
DRODGED,l,NONWORD
SMOUTH,l,NONWORD
CLITTEN,l,NONWORD
GLANTING,l,NONWORD
DRIRK,l,NONWORD
GLAPDASH,l,NONWORD
FRELLS,l,NONWORD
FRALLTIME,l,NONWORD
DRACKED,l,NONWORD
GLUMBERED,l,NONWORD
PLUGGISHLY,l,NONWORD
GLIPCOVER,l,NONWORD
BLINGSHOT,l,NONWORD
PLEEPER,l,NONWORD
SLAUGHTED,l,NONWORD
SLONGY,l,NONWORD
GLANDEROUS,l,NONWORD
BLAMMING,l,NONWORD
FLACKENING,l,NONWORD
SLARK,l,NONWORD
SKITTASH,l,NONWORD
CRIDDED,l,NONWORD
GRI,l,NONWORD